Day;Hires
2011-11-30;20956
2011-12-01;16481
2011-12-02;19146
2011-12-03;13776
2011-12-04;10276
2011-12-05;18176
2011-12-06;18943
2011-12-07;19279
2011-12-08;17313
2011-12-09;18421
2011-12-10;11864
2011-12-11;8368
2011-12-12;16554
2011-12-13;17111
2011-12-14;17543
2011-12-15;17081
2011-12-16;11778
2011-12-17;8925
2011-12-18;7485
2011-12-19;11270
2011-12-20;15685
2011-12-21;14158
2011-12-22;15099
2011-12-23;9131
2011-12-24;4890
2011-12-25;17998
2011-12-26;10953
2011-12-27;8076
2011-12-28;9888
2011-12-29;8368
2011-12-30;6900
2011-12-31;7793
2012-01-01;5171
2012-01-02;9091
2012-01-03;10094
2012-01-04;13936
2012-01-05;14191
2012-01-06;17713
2012-01-07;12556
2012-01-08;10487
2012-01-09;19472
2012-01-10;20548
2012-01-11;20958
2012-01-12;20879
2012-01-13;19691
2012-01-14;13843
2012-01-15;12149
2012-01-16;19136
2012-01-17;20170
2012-01-18;17972
2012-01-19;15441
2012-01-20;18703
2012-01-21;13339
2012-01-22;12845
2012-01-23;20193
2012-01-24;13269
2012-01-25;20836
2012-01-26;19515
2012-01-27;20775
2012-01-28;13272
2012-01-29;10949
2012-01-30;18955
2012-01-31;18176
2012-02-01;18208
2012-02-02;16916
2012-02-03;16185
2012-02-04;8348
2012-02-05;3531
2012-02-06;15202
2012-02-07;17722
2012-02-08;16442
2012-02-09;16363
2012-02-10;15117
2012-02-11;9912
2012-02-12;8020
2012-02-13;13172
2012-02-14;17946
2012-02-15;19396
2012-02-16;19505
2012-02-17;19444
2012-02-18;9463
2012-02-19;12655
2012-02-20;18802
2012-02-21;20861
2012-02-22;18112
2012-02-23;23391
2012-02-24;22067
2012-02-25;19349
2012-02-26;17646
2012-02-27;20936
2012-02-28;23423
2012-02-29;23692
2012-03-01;25116
2012-03-02;21928
2012-03-03;17697
2012-03-04;5062
2012-03-05;19342
2012-03-06;21102
2012-03-07;17096
2012-03-08;24123
2012-03-09;23609
2012-03-10;24721
2012-03-11;27758
2012-03-12;28856
2012-03-13;27528
2012-03-14;28296
2012-03-15;29969
2012-03-16;26452
2012-03-17;13391
2012-03-18;19184
2012-03-19;28391
2012-03-20;30817
2012-03-21;31175
2012-03-22;31135
2012-03-23;33635
2012-03-24;35091
2012-03-25;28607
2012-03-26;32368
2012-03-27;34563
2012-03-28;36539
2012-03-29;35954
2012-03-30;35666
2012-03-31;23038
2012-04-01;30513
2012-04-02;32142
2012-04-03;25956
2012-04-04;27912
2012-04-05;24383
2012-04-06;22354
2012-04-07;16848
2012-04-08;15717
2012-04-09;6214
2012-04-10;24898
2012-04-11;29345
2012-04-12;25772
2012-04-13;27673
2012-04-14;26193
2012-04-15;10188
2012-04-16;28188
2012-04-17;20105
2012-04-18;16651
2012-04-19;18759
2012-04-20;22730
2012-04-21;22014
2012-04-22;19707
2012-04-23;19262
2012-04-24;27522
2012-04-25;12737
2012-04-26;21740
2012-04-27;24263
2012-04-28;7827
2012-04-29;9951
2012-04-30;31909
2012-05-01;24523
2012-05-02;28381
2012-05-03;23768
2012-05-04;25503
2012-05-05;16009
2012-05-06;17160
2012-05-07;15227
2012-05-08;28585
2012-05-09;21758
2012-05-10;26164
2012-05-11;31385
2012-05-12;30699
2012-05-13;28778
2012-05-14;23344
2012-05-15;18409
2012-05-16;31453
2012-05-17;31219
2012-05-18;30945
2012-05-19;28474
2012-05-20;22286
2012-05-21;30905
2012-05-22;36720
2012-05-23;40486
2012-05-24;42008
2012-05-25;41357
2012-05-26;39358
2012-05-27;38781
2012-05-28;40872
2012-05-29;37962
2012-05-30;38803
2012-05-31;35630
2012-06-01;34524
2012-06-02;25283
2012-06-03;12207
2012-06-04;22649
2012-06-05;15537
2012-06-06;30297
2012-06-07;23066
2012-06-08;22224
2012-06-09;29258
2012-06-10;20876
2012-06-11;10252
2012-06-12;23742
2012-06-13;34447
2012-06-14;31593
2012-06-15;30944
2012-06-16;26300
2012-06-17;28531
2012-06-18;31089
2012-06-19;37601
2012-06-20;39267
2012-06-21;27052
2012-06-22;33027
2012-06-23;26900
2012-06-24;23509
2012-06-25;36337
2012-06-26;37652
2012-06-27;36767
2012-06-28;39571
2012-06-29;35321
2012-06-30;32982
2012-07-01;27438
2012-07-02;24963
2012-07-03;27163
2012-07-04;32433
2012-07-05;40565
2012-07-06;24723
2012-07-07;24782
2012-07-08;15855
2012-07-09;30523
2012-07-10;29723
2012-07-11;30544
2012-07-12;24736
2012-07-13;28875
2012-07-14;17999
2012-07-15;29938
2012-07-16;24218
2012-07-17;36788
2012-07-18;29841
2012-07-19;37032
2012-07-20;31187
2012-07-21;34776
2012-07-22;38620
2012-07-23;42309
2012-07-24;45748
2012-07-25;45024
2012-07-26;46891
2012-07-27;42815
2012-07-28;44617
2012-07-29;26352
2012-07-30;41891
2012-07-31;35805
2012-08-01;41603
2012-08-02;43183
2012-08-03;43045
2012-08-04;39082
2012-08-05;30150
2012-08-06;37198
2012-08-07;38134
2012-08-08;42263
2012-08-09;46050
2012-08-10;47102
2012-08-11;44111
2012-08-12;41734
2012-08-13;36101
2012-08-14;41532
2012-08-15;36557
2012-08-16;38181
2012-08-17;40821
2012-08-18;40577
2012-08-19;35370
2012-08-20;37997
2012-08-21;39185
2012-08-22;39962
2012-08-23;36578
2012-08-24;33329
2012-08-25;17802
2012-08-26;31939
2012-08-27;27522
2012-08-28;37362
2012-08-29;30916
2012-08-30;30379
2012-08-31;37406
2012-09-01;33123
2012-09-02;27997
2012-09-03;39941
2012-09-04;40298
2012-09-05;40606
2012-09-06;39864
2012-09-07;41414
2012-09-08;40978
2012-09-09;39006
2012-09-10;35489
2012-09-11;37276
2012-09-12;35654
2012-09-13;37938
2012-09-14;36653
2012-09-15;36493
2012-09-16;29785
2012-09-17;35954
2012-09-18;37026
2012-09-19;36136
2012-09-20;35929
2012-09-21;32347
2012-09-22;33867
2012-09-23;8452
2012-09-24;21229
2012-09-25;33706
2012-09-26;27202
2012-09-27;32416
2012-09-28;31880
2012-09-29;31223
2012-09-30;25263
2012-10-01;23627
2012-10-02;30107
2012-10-03;32695
2012-10-04;35136
2012-10-05;23773
2012-10-06;30424
2012-10-07;27168
2012-10-08;22984
2012-10-09;32965
2012-10-10;35221
2012-10-11;25324
2012-10-12;31694
2012-10-13;26289
2012-10-14;25440
2012-10-15;30558
2012-10-16;33253
2012-10-17;30285
2012-10-18;32566
2012-10-19;21001
2012-10-20;25411
2012-10-21;15563
2012-10-22;27294
2012-10-23;31996
2012-10-24;33882
2012-10-25;29515
2012-10-26;26404
2012-10-27;17144
2012-10-28;15305
2012-10-29;24276
2012-10-30;30325
2012-10-31;29241
2012-11-01;26888
2012-11-02;28748
2012-11-03;21498
2012-11-04;11693
2012-11-05;27666
2012-11-06;27038
2012-11-07;29537
2012-11-08;29895
2012-11-09;29349
2012-11-10;18018
2012-11-11;20971
2012-11-12;23680
2012-11-13;30511
2012-11-14;31453
2012-11-15;30165
2012-11-16;28143
2012-11-17;20325
2012-11-18;21664
2012-11-19;28127
2012-11-20;25921
2012-11-21;20554
2012-11-22;27783
2012-11-23;27973
2012-11-24;8902
2012-11-25;16894
2012-11-26;20656
2012-11-27;20388
2012-11-28;21403
2012-11-29;26212
2012-11-30;24838
2012-12-01;16068
2012-12-02;15227
2012-12-03;23592
2012-12-04;26144
2012-12-05;23111
2012-12-06;22645
2012-12-07;20140
2012-12-08;17805
2012-12-09;14147
2012-12-10;23937
2012-12-11;23531
2012-12-12;22344
2012-12-13;21704
2012-12-14;17085
2012-12-15;16962
2012-12-16;14128
2012-12-17;22899
2012-12-18;23651
2012-12-19;16828
2012-12-20;12401
2012-12-21;20395
2012-12-22;5644
2012-12-23;9184
2012-12-24;7985
2012-12-25;16816
2012-12-26;10405
2012-12-27;9013
2012-12-28;10947
2012-12-29;8498
2012-12-30;11343
2012-12-31;8865
2013-01-01;12149
2013-01-02;16203
2013-01-03;21269
2013-01-04;22435
2013-01-05;16242
2013-01-06;13622
2013-01-07;23348
2013-01-08;25909
2013-01-09;25341
2013-01-10;24363
2013-01-11;23869
2013-01-12;13562
2013-01-13;12260
2013-01-14;17427
2013-01-15;22797
2013-01-16;22460
2013-01-17;22210
2013-01-18;13108
2013-01-19;7843
2013-01-20;3728
2013-01-21;13467
2013-01-22;18061
2013-01-23;19404
2013-01-24;20721
2013-01-25;20178
2013-01-26;14595
2013-01-27;13689
2013-01-28;18689
2013-01-29;21268
2013-01-30;23415
2013-01-31;21957
2013-02-01;18081
2013-02-02;15757
2013-02-03;13572
2013-02-04;23017
2013-02-05;21177
2013-02-06;20664
2013-02-07;20852
2013-02-08;20571
2013-02-09;11274
2013-02-10;4901
2013-02-11;13468
2013-02-12;20342
2013-02-13;21051
2013-02-14;21034
2013-02-15;22952
2013-02-16;19072
2013-02-17;19044
2013-02-18;22724
2013-02-19;24525
2013-02-20;20938
2013-02-21;19757
2013-02-22;18313
2013-02-23;11234
2013-02-24;9404
2013-02-25;19800
2013-02-26;19595
2013-02-27;21484
2013-02-28;21985
2013-03-01;19487
2013-03-02;15265
2013-03-03;14520
2013-03-04;23036
2013-03-05;27054
2013-03-06;24324
2013-03-07;17322
2013-03-08;13843
2013-03-09;14244
2013-03-10;10163
2013-03-11;16546
2013-03-12;18794
2013-03-13;20245
2013-03-14;21984
2013-03-15;17159
2013-03-16;9190
2013-03-17;7940
2013-03-18;15852
2013-03-19;22479
2013-03-20;22216
2013-03-21;22061
2013-03-22;16233
2013-03-23;5249
2013-03-24;6786
2013-03-25;17290
2013-03-26;18384
2013-03-27;19184
2013-03-28;18052
2013-03-29;10909
2013-03-30;9793
2013-03-31;9007
2013-04-01;9421
2013-04-02;19148
2013-04-03;17801
2013-04-04;15626
2013-04-05;18059
2013-04-06;18216
2013-04-07;18090
2013-04-08;21797
2013-04-09;17555
2013-04-10;22233
2013-04-11;19240
2013-04-12;15100
2013-04-13;11291
2013-04-14;25074
2013-04-15;24923
2013-04-16;26060
2013-04-17;25730
2013-04-18;23979
2013-04-19;24297
2013-04-20;26724
2013-04-21;22466
2013-04-22;25384
2013-04-23;31359
2013-04-24;30193
2013-04-25;32000
2013-04-26;23125
2013-04-27;17337
2013-04-28;19139
2013-04-29;27644
2013-04-30;29219
2013-05-01;31175
2013-05-02;31239
2013-05-03;31340
2013-05-04;19156
2013-05-05;24342
2013-05-06;29015
2013-05-07;30707
2013-05-08;26032
2013-05-09;24250
2013-05-10;26399
2013-05-11;16627
2013-05-12;15918
2013-05-13;24836
2013-05-14;18054
2013-05-15;24015
2013-05-16;26070
2013-05-17;24932
2013-05-18;22272
2013-05-19;23994
2013-05-20;25914
2013-05-21;27649
2013-05-22;26967
2013-05-23;24701
2013-05-24;12891
2013-05-25;21087
2013-05-26;27251
2013-05-27;25819
2013-05-28;14556
2013-05-29;21440
2013-05-30;22150
2013-05-31;29136
2013-06-01;24782
2013-06-02;27202
2013-06-03;29940
2013-06-04;32397
2013-06-05;32488
2013-06-06;32829
2013-06-07;28762
2013-06-08;27264
2013-06-09;19429
2013-06-10;27336
2013-06-11;26601
2013-06-12;24401
2013-06-13;26388
2013-06-14;28797
2013-06-15;16020
2013-06-16;19970
2013-06-17;28611
2013-06-18;30871
2013-06-19;31899
2013-06-20;29959
2013-06-21;28844
2013-06-22;19483
2013-06-23;19006
2013-06-24;27636
2013-06-25;31889
2013-06-26;31156
2013-06-27;27306
2013-06-28;22074
2013-06-29;29054
2013-06-30;31237
2013-07-01;31151
2013-07-02;30163
2013-07-03;30780
2013-07-04;32941
2013-07-05;34704
2013-07-06;34191
2013-07-07;31363
2013-07-08;34263
2013-07-09;35519
2013-07-10;33629
2013-07-11;33792
2013-07-12;33173
2013-07-13;33509
2013-07-14;32169
2013-07-15;34419
2013-07-16;35580
2013-07-17;35203
2013-07-18;35330
2013-07-19;35196
2013-07-20;28332
2013-07-21;30075
2013-07-22;33176
2013-07-23;31624
2013-07-24;34038
2013-07-25;33683
2013-07-26;34681
2013-07-27;25761
2013-07-28;28177
2013-07-29;30415
2013-07-30;22742
2013-07-31;28976
2013-08-01;34770
2013-08-02;29109
2013-08-03;34928
2013-08-04;32580
2013-08-05;23864
2013-08-06;33631
2013-08-07;33084
2013-08-08;33737
2013-08-09;28206
2013-08-10;28830
2013-08-11;29530
2013-08-12;30425
2013-08-13;30933
2013-08-14;31412
2013-08-15;30865
2013-08-16;25555
2013-08-17;23931
2013-08-18;26910
2013-08-19;31183
2013-08-20;33578
2013-08-21;33214
2013-08-22;22363
2013-08-23;30665
2013-08-24;7341
2013-08-25;21638
2013-08-26;27802
2013-08-27;29563
2013-08-28;32024
2013-08-29;31639
2013-08-30;31127
2013-08-31;29718
2013-09-01;23856
2013-09-02;31292
2013-09-03;31600
2013-09-04;33406
2013-09-05;33574
2013-09-06;20930
2013-09-07;21279
2013-09-08;18046
2013-09-09;17943
2013-09-10;24558
2013-09-11;23386
2013-09-12;24246
2013-09-13;15392
2013-09-14;12977
2013-09-15;4826
2013-09-16;21892
2013-09-17;18428
2013-09-18;25319
2013-09-19;18746
2013-09-20;26196
2013-09-21;21988
2013-09-22;22683
2013-09-23;26625
2013-09-24;28666
2013-09-25;28183
2013-09-26;28857
2013-09-27;27371
2013-09-28;21716
2013-09-29;20654
2013-09-30;27089
2013-10-01;27711
2013-10-02;26467
2013-10-03;25153
2013-10-04;26522
2013-10-05;22996
2013-10-06;25143
2013-10-07;26680
2013-10-08;27598
2013-10-09;26433
2013-10-10;23497
2013-10-11;15640
2013-10-12;17068
2013-10-13;7068
2013-10-14;18979
2013-10-15;24657
2013-10-16;20562
2013-10-17;25170
2013-10-18;24880
2013-10-19;17430
2013-10-20;11396
2013-10-21;21385
2013-10-22;22316
2013-10-23;24178
2013-10-24;26399
2013-10-25;23677
2013-10-26;16986
2013-10-27;15652
2013-10-28;14577
2013-10-29;23126
2013-10-30;24753
2013-10-31;20055
2013-11-01;20597
2013-11-02;15347
2013-11-03;13063
2013-11-04;20369
2013-11-05;19326
2013-11-06;18431
2013-11-07;22527
2013-11-08;15188
2013-11-09;6772
2013-11-10;9767
2013-11-11;14377
2013-11-12;19572
2013-11-13;22021
2013-11-14;21061
2013-11-15;20850
2013-11-16;15029
2013-11-17;12340
2013-11-18;18491
2013-11-19;20335
2013-11-20;14115
2013-11-21;18668
2013-11-22;18789
2013-11-23;13276
2013-11-24;10505
2013-11-25;19201
2013-11-26;20486
2013-11-27;20274
2013-11-28;20649
2013-11-29;19397
2013-11-30;13323
2013-12-01;11711
2013-12-02;19630
2013-12-03;20242
2013-12-04;20035
2013-12-05;18326
2013-12-06;18494
2013-12-07;13625
2013-12-08;13076
2013-12-09;19969
2013-12-10;20432
2013-12-11;19123
2013-12-12;19420
2013-12-13;16921
2013-12-14;14049
2013-12-15;8557
2013-12-16;13825
2013-12-17;15689
2013-12-18;17311
2013-12-19;17738
2013-12-20;18046
2013-12-21;5774
2013-12-22;9233
2013-12-23;6246
2013-12-24;6201
2013-12-25;27715
2013-12-26;7666
2013-12-27;7258
2013-12-28;10533
2013-12-29;10983
2013-12-30;8413
2013-12-31;7701
2014-01-01;4327
2014-01-02;15820
2014-01-03;11636
2014-01-04;6918
2014-01-05;9145
2014-01-06;13066
2014-01-07;17420
2014-01-08;19770
2014-01-09;19143
2014-01-10;18840
2014-01-11;15723
2014-01-12;11975
2014-01-13;17721
2014-01-14;20740
2014-01-15;19243
2014-01-16;18861
2014-01-17;17434
2014-01-18;15333
2014-01-19;16083
2014-01-20;21218
2014-01-21;21756
2014-01-22;21072
2014-01-23;20020
2014-01-24;19272
2014-01-25;14581
2014-01-26;7033
2014-01-27;18285
2014-01-28;19939
2014-01-29;10585
2014-01-30;17052
2014-01-31;13859
2014-02-01;13981
2014-02-02;15924
2014-02-03;20370
2014-02-04;21217
2014-02-05;29418
2014-02-06;25395
2014-02-07;19857
2014-02-08;10928
2014-02-09;11657
2014-02-10;19278
2014-02-11;18514
2014-02-12;18000
2014-02-13;20954
2014-02-14;12794
2014-02-15;11208
2014-02-16;18484
2014-02-17;19013
2014-02-18;19484
2014-02-19;21556
2014-02-20;19396
2014-02-21;21269
2014-02-22;20033
2014-02-23;13680
2014-02-24;21469
2014-02-25;20713
2014-02-26;23938
2014-02-27;20629
2014-02-28;13781
2014-03-01;18823
2014-03-02;11727
2014-03-03;18150
2014-03-04;23069
2014-03-05;25102
2014-03-06;24696
2014-03-07;24385
2014-03-08;25556
2014-03-09;33955
2014-03-10;24347
2014-03-11;23871
2014-03-12;27173
2014-03-13;27552
2014-03-14;28134
2014-03-15;29664
2014-03-16;34421
2014-03-17;26465
2014-03-18;25502
2014-03-19;26719
2014-03-20;23718
2014-03-21;23821
2014-03-22;19091
2014-03-23;17463
2014-03-24;24055
2014-03-25;19421
2014-03-26;20493
2014-03-27;23462
2014-03-28;24198
2014-03-29;29511
2014-03-30;26605
2014-03-31;26715
2014-04-01;29782
2014-04-02;28876
2014-04-03;28245
2014-04-04;27401
2014-04-05;25648
2014-04-06;16387
2014-04-07;18883
2014-04-08;26654
2014-04-09;29621
2014-04-10;29229
2014-04-11;28435
2014-04-12;25706
2014-04-13;31404
2014-04-14;28742
2014-04-15;30031
2014-04-16;30934
2014-04-17;27676
2014-04-18;22152
2014-04-19;21424
2014-04-20;7188
2014-04-21;20532
2014-04-22;22689
2014-04-23;27102
2014-04-24;29119
2014-04-25;20400
2014-04-26;25195
2014-04-27;21284
2014-04-28;29474
2014-04-29;46333
2014-04-30;49025
2014-05-01;16644
2014-05-02;26510
2014-05-03;31534
2014-05-04;33030
2014-05-05;33748
2014-05-06;32323
2014-05-07;28802
2014-05-08;19398
2014-05-09;30131
2014-05-10;19373
2014-05-11;17645
2014-05-12;26149
2014-05-13;25351
2014-05-14;34122
2014-05-15;35148
2014-05-16;36268
2014-05-17;38147
2014-05-18;43663
2014-05-19;37088
2014-05-20;33626
2014-05-21;34437
2014-05-22;30819
2014-05-23;30556
2014-05-24;18723
2014-05-25;33401
2014-05-26;12049
2014-05-27;14446
2014-05-28;21978
2014-05-29;29229
2014-05-30;31331
2014-05-31;35040
2014-06-01;36655
2014-06-02;33481
2014-06-03;29332
2014-06-04;25905
2014-06-05;34617
2014-06-06;37440
2014-06-07;29919
2014-06-08;44415
2014-06-09;34305
2014-06-10;40128
2014-06-11;39582
2014-06-12;39928
2014-06-13;40036
2014-06-14;32758
2014-06-15;28944
2014-06-16;31592
2014-06-17;37658
2014-06-18;35431
2014-06-19;36113
2014-06-20;36924
2014-06-21;42463
2014-06-22;41596
2014-06-23;35206
2014-06-24;38066
2014-06-25;39623
2014-06-26;35438
2014-06-27;35912
2014-06-28;20199
2014-06-29;26714
2014-06-30;32193
2014-07-01;39495
2014-07-02;40878
2014-07-03;43116
2014-07-04;38316
2014-07-05;27332
2014-07-06;31117
2014-07-07;36191
2014-07-08;35107
2014-07-09;38844
2014-07-10;32108
2014-07-11;27618
2014-07-12;38331
2014-07-13;33227
2014-07-14;38450
2014-07-15;40888
2014-07-16;42341
2014-07-17;42404
2014-07-18;40543
2014-07-19;37061
2014-07-20;34379
2014-07-21;38499
2014-07-22;42928
2014-07-23;42486
2014-07-24;42412
2014-07-25;31881
2014-07-26;43788
2014-07-27;39917
2014-07-28;36203
2014-07-29;42308
2014-07-30;43044
2014-07-31;41970
2014-08-01;40009
2014-08-02;38046
2014-08-03;41944
2014-08-04;39856
2014-08-05;40716
2014-08-06;38665
2014-08-07;42491
2014-08-08;34234
2014-08-09;47454
2014-08-10;23980
2014-08-11;31725
2014-08-12;34827
2014-08-13;37856
2014-08-14;27185
2014-08-15;32510
2014-08-16;47245
2014-08-17;39952
2014-08-18;30784
2014-08-19;35332
2014-08-20;36817
2014-08-21;33236
2014-08-22;34047
2014-08-23;29999
2014-08-24;30962
2014-08-25;6175
2014-08-26;18448
2014-08-27;32286
2014-08-28;31842
2014-08-29;32439
2014-08-30;30832
2014-08-31;33312
2014-09-01;27455
2014-09-02;36836
2014-09-03;36523
2014-09-04;35448
2014-09-05;35013
2014-09-06;33434
2014-09-07;34248
2014-09-08;36983
2014-09-09;37674
2014-09-10;37091
2014-09-11;35303
2014-09-12;37144
2014-09-13;34174
2014-09-14;31770
2014-09-15;36629
2014-09-16;37535
2014-09-17;38583
2014-09-18;38442
2014-09-19;36841
2014-09-20;31031
2014-09-21;33334
2014-09-22;35178
2014-09-23;36460
2014-09-24;32680
2014-09-25;35367
2014-09-26;35474
2014-09-27;35087
2014-09-28;37873
2014-09-29;31701
2014-09-30;37373
2014-10-01;32733
2014-10-02;36992
2014-10-03;37909
2014-10-04;18967
2014-10-05;33082
2014-10-06;24330
2014-10-07;31465
2014-10-08;23573
2014-10-09;26642
2014-10-10;32510
2014-10-11;30498
2014-10-12;23063
2014-10-13;13299
2014-10-14;28518
2014-10-15;25424
2014-10-16;31541
2014-10-17;32770
2014-10-18;28951
2014-10-19;30480
2014-10-20;31642
2014-10-21;24681
2014-10-22;30642
2014-10-23;31277
2014-10-24;29144
2014-10-25;30053
2014-10-26;26514
2014-10-27;33716
2014-10-28;35320
2014-10-29;23281
